ingredient_name,category_id,category_name,quantity_kg,shelf_life_days,calories_per_100,purchase_days_ago,days_until_expiry,storage_location,storage_temp_c,waste_quantity_kg,waste_ratio,risk_level,risk_code,consumption_frequency,user_is_vegetarian,waste_reason
Mish pule,3,Mish,0.12,3,165,3,1,Kuzhinë,20.0,0.083,0.695,high,2,10,1,other
Spinaq,1,Perime,1.98,5,23,1,1,Qilar,20.0,0.861,0.435,high,2,2,0,other
Qumësht,4,Bulmet,9.2,5,42,4,0,Frigorifer,4.0,4.701,0.511,high,2,17,0,spoiled
Patate,1,Perime,5.99,45,77,43,2,Raft,20.0,1.833,0.306,high,2,8,0,expired
Mish viçi,3,Mish,6.61,4,250,4,5,Qilar,20.0,3.325,0.503,medium,1,9,0,overcooked
Lakër,1,Perime,2.73,14,25,2,13,Frigorifer,4.0,0.0,0,low,0,1,1,none
Gjalpë,4,Bulmet,9.98,30,717,3,25,Raft,20.0,1.916,0.192,low,0,7,0,spoiled
Portokall,2,Fruta,8.82,14,47,14,0,Raft,20.0,4.763,0.54,high,2,10,0,overcooked
Pasta,5,Drithëra,1.13,365,131,68,298,Frigorifer,4.0,0.185,0.164,low,0,4,0,overcooked
Banane,2,Fruta,6.09,6,89,5,3,Qilar,20.0,2.198,0.361,medium,1,17,1,overcooked
Majdanoz,6,Erëza,0.6,5,36,5,3,Qilar,20.0,0.302,0.504,medium,1,2,0,overcooked
Vaj ulliri,6,Erëza,1.4,365,884,134,230,Kuzhinë,20.0,0.126,0.09,low,0,18,0,expired
Patate,1,Perime,9.46,45,77,44,0,Raft,20.0,3.879,0.41,high,2,2,0,spoiled
Mish viçi,3,Mish,1.36,4,250,2,4,Frigorifer,4.0,0.7,0.515,medium,1,12,0,spoiled
Pasta,5,Drithëra,1.12,365,131,286,82,Raft,20.0,0.0,0,low,0,5,0,none
Majdanoz,6,Erëza,1.71,5,36,1,7,Qilar,20.0,0.927,0.542,medium,1,14,0,overcooked
Kastravec,1,Perime,7.9,7,16,1,9,Frigorifer,4.0,1.09,0.138,low,0,16,0,spoiled
Piper,6,Erëza,9.19,1000,251,358,643,Ngrirës,-18.0,2.114,0.23,low,0,1,0,other
Limon,2,Fruta,2.86,21,29,2,20,Qilar,20.0,0.0,0,low,0,17,1,none
Pasta,5,Drithëra,9.81,365,131,274,93,Qilar,20.0,1.658,0.169,low,0,6,0,expired
Karrota,1,Perime,6.01,30,41,11,21,Kuzhinë,20.0,0.433,0.072,low,0,20,0,other
Kos,4,Bulmet,1.98,7,61,0,10,Raft,20.0,0.875,0.442,low,0,7,0,other
Patate,1,Perime,9.49,45,77,21,26,Frigorifer,4.0,0.987,0.104,low,0,10,0,other
Limon,2,Fruta,4.08,21,29,9,17,Kuzhinë,20.0,0.853,0.209,low,0,6,0,other
Djathë,4,Bulmet,8.35,14,264,4,11,Ngrirës,-18.0,1.77,0.212,low,0,14,0,other
Vezë,3,Mish,4.48,21,155,6,20,Ngrirës,-18.0,0.0,0,low,0,3,0,none
Qumësht,4,Bulmet,6.67,5,42,4,3,Frigorifer,4.0,2.361,0.354,medium,1,8,0,spoiled
Kripë,6,Erëza,2.07,1000,0,25,972,Frigorifer,4.0,0.219,0.106,low,0,15,1,spoiled
Bukë,5,Drithëra,6.99,3,265,3,3,Ngrirës,-18.0,3.285,0.47,medium,1,5,0,expired
Vaj ulliri,6,Erëza,4.31,365,884,90,280,Frigorifer,4.0,0.0,0,low,0,15,0,none
Kripë,6,Erëza,4.7,1000,0,543,462,Raft,20.0,0.667,0.142,low,0,11,1,other
Piper,6,Erëza,9.08,1000,251,456,543,Qilar,20.0,0.844,0.093,low,0,8,0,other
Oriz,5,Drithëra,2.47,365,130,225,138,Qilar,20.0,0.0,0,low,0,8,0,none
Limon,2,Fruta,3.27,21,29,17,2,Ngrirës,-18.0,2.191,0.67,high,2,7,0,other
Mish viçi,3,Mish,3.38,4,250,3,4,Frigorifer,4.0,1.295,0.383,medium,1,7,1,other
Vaj ulliri,6,Erëza,5.88,365,884,356,6,Kuzhinë,20.0,2.699,0.459,medium,1,16,0,overcooked
Banane,2,Fruta,7.56,6,89,6,3,Raft,20.0,0.756,0.1,medium,1,18,0,other
Lakër,1,Perime,2.8,14,25,7,4,Kuzhinë,20.0,0.361,0.129,medium,1,6,1,spoiled
Gjalpë,4,Bulmet,5.39,30,717,29,4,Raft,20.0,2.388,0.443,medium,1,19,0,expired
Oriz,5,Drithëra,4.34,365,130,236,128,Ngrirës,-18.0,1.037,0.239,low,0,15,0,overcooked
Vaj ulliri,6,Erëza,8.81,365,884,142,226,Qilar,20.0,1.286,0.146,low,0,3,1,expired
Tërshërë,5,Drithëra,5.44,180,389,89,91,Frigorifer,4.0,0.0,0,low,0,1,0,none
Speca,1,Perime,8.41,10,31,9,0,Ngrirës,-18.0,3.263,0.388,high,2,5,1,expired
Kos,4,Bulmet,9.48,7,61,7,1,Raft,20.0,5.783,0.61,high,2,4,0,overcooked
Karrota,1,Perime,5.83,30,41,29,2,Raft,20.0,2.973,0.51,high,2,13,1,spoiled
Patate,1,Perime,5.96,45,77,40,5,Raft,20.0,3.022,0.507,medium,1,4,0,overcooked
Djathë,4,Bulmet,4.34,14,264,5,7,Raft,20.0,1.97,0.454,medium,1,11,0,other
Piper,6,Erëza,4.95,1000,251,443,559,Ngrirës,-18.0,0.0,0,low,0,14,0,none
Tërshërë,5,Drithëra,5.27,180,389,166,15,Raft,20.0,0.0,0,low,0,18,1,none
Vezë,3,Mish,4.41,21,155,18,4,Frigorifer,4.0,1.107,0.251,medium,1,9,1,spoiled
Vaj ulliri,6,Erëza,4.7,365,884,312,56,Qilar,20.0,0.945,0.201,low,0,1,1,overcooked
Kastravec,1,Perime,4.93,7,16,5,3,Qilar,20.0,0.661,0.134,medium,1,18,0,spoiled
Patate,1,Perime,2.49,45,77,26,23,Raft,20.0,0.899,0.361,low,0,8,1,other
Vezë,3,Mish,7.95,21,155,2,20,Qilar,20.0,1.121,0.141,low,0,19,0,other
Djathë,4,Bulmet,5.36,14,264,6,13,Qilar,20.0,1.747,0.326,low,0,12,1,overcooked
Banane,2,Fruta,2.59,6,89,0,6,Ngrirës,-18.0,0.521,0.201,medium,1,7,0,other
Mollë,2,Fruta,7.27,21,52,16,6,Frigorifer,4.0,3.831,0.527,medium,1,7,0,spoiled
Portokall,2,Fruta,1.88,14,47,0,19,Frigorifer,4.0,0.248,0.132,low,0,18,0,spoiled
Oriz,5,Drithëra,8.7,365,130,251,112,Frigorifer,4.0,1.157,0.133,low,0,19,0,other
Salmon,3,Mish,4.46,2,208,0,-1,Frigorifer,4.0,2.654,0.595,high,2,3,1,other
Patate,1,Perime,5.81,45,77,43,-1,Ngrirës,-18.0,5.217,0.898,high,2,5,0,expired
Lakër,1,Perime,1.27,14,25,12,5,Ngrirës,-18.0,0.117,0.092,medium,1,17,1,other
Vezë,3,Mish,3.04,21,155,18,6,Qilar,20.0,0.413,0.136,medium,1,19,0,expired
Vaj ulliri,6,Erëza,2.16,365,884,108,258,Ngrirës,-18.0,0.114,0.053,low,0,18,0,spoiled
Domate,1,Perime,4.14,7,18,7,1,Frigorifer,4.0,2.178,0.526,high,2,8,0,overcooked
Bukë,5,Drithëra,8.61,3,265,0,3,Raft,20.0,4.606,0.535,medium,1,7,1,expired
Djathë,4,Bulmet,2.33,14,264,2,13,Ngrirës,-18.0,0.0,0,low,0,3,0,none
Kastravec,1,Perime,7.95,7,16,4,7,Kuzhinë,20.0,3.681,0.463,medium,1,9,1,other
Patate,1,Perime,6.02,45,77,27,20,Raft,20.0,1.571,0.261,low,0,9,0,expired
Lakër,1,Perime,9.62,14,25,13,-2,Qilar,20.0,7.927,0.824,high,2,19,0,spoiled
Salmon,3,Mish,5.24,2,208,1,2,Ngrirës,-18.0,3.139,0.599,high,2,19,1,other
Patate,1,Perime,4.75,45,77,26,21,Ngrirës,-18.0,0.333,0.07,low,0,11,1,other
Banane,2,Fruta,6.66,6,89,3,8,Frigorifer,4.0,1.092,0.164,low,0,15,0,overcooked
Mollë,2,Fruta,3.3,21,52,12,14,Raft,20.0,0.34,0.103,low,0,15,1,expired
Speca,1,Perime,5.23,10,31,9,5,Kuzhinë,20.0,1.538,0.294,medium,1,2,0,overcooked
Djathë,4,Bulmet,1.4,14,264,4,14,Frigorifer,4.0,0.318,0.227,low,0,20,0,spoiled
Banane,2,Fruta,5.55,6,89,4,5,Frigorifer,4.0,1.01,0.182,medium,1,8,0,other
Karrota,1,Perime,6.51,30,41,4,30,Qilar,20.0,1.393,0.214,low,0,14,1,other
Lakër,1,Perime,4.62,14,25,2,15,Ngrirës,-18.0,0.226,0.049,low,0,20,0,none
Majdanoz,6,Erëza,0.79,5,36,3,4,Frigorifer,4.0,0.367,0.464,medium,1,10,0,other
Majdanoz,6,Erëza,1.57,5,36,4,5,Qilar,20.0,0.358,0.228,medium,1,11,1,other
Limon,2,Fruta,8.71,21,29,7,17,Frigorifer,4.0,1.106,0.127,low,0,11,1,other
Mish pule,3,Mish,9.89,3,165,1,6,Frigorifer,4.0,5.519,0.558,medium,1,5,0,expired
Majdanoz,6,Erëza,8.47,5,36,0,10,Ngrirës,-18.0,1.033,0.122,low,0,14,0,expired
Salmon,3,Mish,7.84,2,208,1,3,Raft,20.0,2.242,0.286,medium,1,13,0,overcooked
Majdanoz,6,Erëza,6.78,5,36,4,4,Kuzhinë,20.0,3.404,0.502,medium,1,18,0,expired
Lakër,1,Perime,6.35,14,25,14,1,Ngrirës,-18.0,3.429,0.54,high,2,3,1,expired
Vaj ulliri,6,Erëza,6.37,365,884,51,318,Frigorifer,4.0,1.038,0.163,low,0,2,0,expired
Banane,2,Fruta,3.65,6,89,3,2,Ngrirës,-18.0,2.588,0.709,high,2,17,1,spoiled
Kastravec,1,Perime,1.83,7,16,6,1,Ngrirës,-18.0,0.736,0.402,high,2,15,0,other
Mollë,2,Fruta,6.7,21,52,14,8,Raft,20.0,0.69,0.103,low,0,6,0,other
Portokall,2,Fruta,9.88,14,47,4,13,Qilar,20.0,0.385,0.039,low,0,7,1,none
Majdanoz,6,Erëza,4.88,5,36,1,7,Raft,20.0,0.712,0.146,medium,1,12,0,overcooked
Domate,1,Perime,9.78,7,18,6,2,Frigorifer,4.0,8.802,0.9,high,2,20,1,overcooked
Vaj ulliri,6,Erëza,8.01,365,884,310,57,Ngrirës,-18.0,0.921,0.115,low,0,7,0,spoiled
Oriz,5,Drithëra,1.06,365,130,321,41,Raft,20.0,0.043,0.041,low,0,12,0,none
Patate,1,Perime,9.11,45,77,20,28,Ngrirës,-18.0,2.287,0.251,low,0,7,0,overcooked
Qumësht,4,Bulmet,5.07,5,42,2,2,Kuzhinë,20.0,2.981,0.588,high,2,10,0,expired
Vezë,3,Mish,9.63,21,155,4,17,Kuzhinë,20.0,3.659,0.38,low,0,18,0,expired
Kripë,6,Erëza,4.01,1000,0,270,735,Qilar,20.0,0.814,0.203,low,0,19,1,overcooked
Karrota,1,Perime,6.78,30,41,15,12,Raft,20.0,1.363,0.201,low,0,18,0,spoiled
Oriz,5,Drithëra,0.73,365,130,237,129,Frigorifer,4.0,0.041,0.056,low,0,2,0,other
Karrota,1,Perime,1.06,30,41,28,7,Ngrirës,-18.0,0.254,0.24,medium,1,13,1,overcooked
Pasta,5,Drithëra,9.5,365,131,356,14,Ngrirës,-18.0,0.0,0,low,0,14,0,none
Piper,6,Erëza,4.94,1000,251,417,584,Frigorifer,4.0,1.087,0.22,low,0,12,0,other
Vezë,3,Mish,9.51,21,155,11,8,Qilar,20.0,2.311,0.243,low,0,2,1,overcooked
Speca,1,Perime,9.69,10,31,7,1,Ngrirës,-18.0,5.649,0.583,high,2,20,0,expired
Kripë,6,Erëza,3.4,1000,0,128,872,Ngrirës,-18.0,1.129,0.332,low,0,19,0,spoiled
Limon,2,Fruta,7.77,21,29,19,-1,Qilar,20.0,5.493,0.707,high,2,5,0,overcooked
Kripë,6,Erëza,1.83,1000,0,676,321,Ngrirës,-18.0,0.359,0.196,low,0,19,0,expired
Kastravec,1,Perime,2.73,7,16,2,8,Raft,20.0,0.557,0.204,low,0,4,0,other
Vezë,3,Mish,7.8,21,155,16,3,Raft,20.0,1.552,0.199,medium,1,2,0,other
Oriz,5,Drithëra,9.64,365,130,31,338,Kuzhinë,20.0,1.272,0.132,low,0,14,0,other
Bukë,5,Drithëra,9.11,3,265,0,1,Ngrirës,-18.0,5.129,0.563,high,2,9,0,other
Gjalpë,4,Bulmet,5.35,30,717,14,21,Raft,20.0,0.942,0.176,low,0,14,0,expired
Majdanoz,6,Erëza,6.58,5,36,4,1,Kuzhinë,20.0,2.079,0.316,high,2,11,1,other
Mish viçi,3,Mish,7.32,4,250,2,5,Qilar,20.0,3.177,0.434,medium,1,9,0,spoiled
Pasta,5,Drithëra,9.24,365,131,34,329,Frigorifer,4.0,1.229,0.133,low,0,12,0,expired
Kos,4,Bulmet,9.57,7,61,5,0,Kuzhinë,20.0,5.187,0.542,high,2,12,1,expired
Banane,2,Fruta,6.04,6,89,2,2,Kuzhinë,20.0,3.068,0.508,high,2,8,0,overcooked
Majdanoz,6,Erëza,5.61,5,36,0,6,Raft,20.0,1.408,0.251,medium,1,8,1,expired
Gjalpë,4,Bulmet,9.3,30,717,26,5,Qilar,20.0,3.887,0.418,medium,1,11,0,expired
Kastravec,1,Perime,8.71,7,16,6,-1,Ngrirës,-18.0,5.418,0.622,high,2,1,0,spoiled
Mish pule,3,Mish,4.26,3,165,2,0,Raft,20.0,1.857,0.436,high,2,20,0,expired
Spinaq,1,Perime,1.66,5,23,4,-2,Frigorifer,4.0,1.286,0.775,high,2,9,1,other
Salmon,3,Mish,6.11,2,208,1,2,Qilar,20.0,3.904,0.639,high,2,14,0,overcooked
Pasta,5,Drithëra,6.82,365,131,249,121,Qilar,20.0,1.882,0.276,low,0,2,0,other
Gjalpë,4,Bulmet,0.64,30,717,6,25,Qilar,20.0,0.218,0.341,low,0,10,0,expired
Domate,1,Perime,5.02,7,18,6,0,Ngrirës,-18.0,2.58,0.514,high,2,13,0,overcooked
Patate,1,Perime,4.03,45,77,2,46,Qilar,20.0,1.757,0.436,low,0,19,1,other
Bukë,5,Drithëra,6.44,3,265,2,-1,Kuzhinë,20.0,4.122,0.64,high,2,1,0,spoiled
Kripë,6,Erëza,9.48,1000,0,471,531,Ngrirës,-18.0,3.28,0.346,low,0,14,1,expired
Mish pule,3,Mish,8.72,3,165,2,1,Qilar,20.0,6.557,0.752,high,2,6,0,expired
Qumësht,4,Bulmet,5.15,5,42,2,5,Ngrirës,-18.0,1.344,0.261,medium,1,8,0,spoiled
Mollë,2,Fruta,2.05,21,52,19,1,Frigorifer,4.0,0.666,0.325,high,2,6,1,other
Vaj ulliri,6,Erëza,5.68,365,884,296,73,Raft,20.0,0.0,0,low,0,11,0,none
Spinaq,1,Perime,4.45,5,23,3,6,Qilar,20.0,0.08,0.018,medium,1,9,0,none
Portokall,2,Fruta,5.12,14,47,4,14,Qilar,20.0,0.261,0.051,low,0,3,0,other
Vezë,3,Mish,5.85,21,155,1,24,Raft,20.0,0.673,0.115,low,0,7,0,other
Qumësht,4,Bulmet,1.59,5,42,0,9,Qilar,20.0,0.566,0.356,low,0,3,0,expired
Lakër,1,Perime,7.11,14,25,7,12,Raft,20.0,2.097,0.295,low,0,20,0,overcooked
Portokall,2,Fruta,9.19,14,47,6,11,Frigorifer,4.0,1.241,0.135,low,0,11,0,overcooked
Karrota,1,Perime,5.62,30,41,12,19,Qilar,20.0,0.0,0,low,0,20,0,none
Limon,2,Fruta,0.91,21,29,21,-1,Kuzhinë,20.0,0.648,0.712,high,2,5,0,overcooked
Djathë,4,Bulmet,3.83,14,264,12,4,Ngrirës,-18.0,0.9,0.235,medium,1,17,0,other
Qumësht,4,Bulmet,3.68,5,42,2,4,Kuzhinë,20.0,1.266,0.344,medium,1,7,0,spoiled
Spinaq,1,Perime,0.86,5,23,0,10,Raft,20.0,0.167,0.194,low,0,17,0,overcooked
Vaj ulliri,6,Erëza,6.22,365,884,305,63,Raft,20.0,0.958,0.154,low,0,6,1,expired
Mish viçi,3,Mish,3.71,4,250,1,7,Raft,20.0,1.402,0.378,medium,1,10,1,spoiled
Djathë,4,Bulmet,2.47,14,264,12,6,Raft,20.0,0.941,0.381,medium,1,15,1,overcooked
Vaj ulliri,6,Erëza,3.88,365,884,270,98,Ngrirës,-18.0,0.171,0.044,low,0,7,0,none
Majdanoz,6,Erëza,2.58,5,36,5,4,Frigorifer,4.0,1.12,0.434,medium,1,17,0,overcooked
Patate,1,Perime,7.65,45,77,17,32,Raft,20.0,0.0,0,low,0,5,1,none
Patate,1,Perime,9.47,45,77,14,35,Kuzhinë,20.0,3.4,0.359,low,0,2,1,overcooked
Lakër,1,Perime,3.92,14,25,1,15,Ngrirës,-18.0,0.0,0,low,0,1,0,none
Karrota,1,Perime,8.41,30,41,20,12,Qilar,20.0,1.018,0.121,low,0,16,0,other
Vezë,3,Mish,6.19,21,155,2,16,Qilar,20.0,0.13,0.021,low,0,7,0,none
Djathë,4,Bulmet,9.41,14,264,9,10,Ngrirës,-18.0,0.0,0,low,0,10,0,none
Qepë,1,Perime,2.46,30,40,20,14,Frigorifer,4.0,0.541,0.22,low,0,4,1,expired
Oriz,5,Drithëra,5.2,365,130,123,241,Qilar,20.0,0.51,0.098,low,0,8,1,spoiled
Pasta,5,Drithëra,6.72,365,131,268,99,Frigorifer,4.0,0.726,0.108,low,0,17,0,other
Majdanoz,6,Erëza,4.75,5,36,5,3,Frigorifer,4.0,1.966,0.414,medium,1,12,0,overcooked
Lakër,1,Perime,7.36,14,25,10,2,Raft,20.0,4.313,0.586,high,2,11,0,expired
Portokall,2,Fruta,5.51,14,47,13,0,Kuzhinë,20.0,3.912,0.71,high,2,6,0,expired
Bukë,5,Drithëra,7.78,3,265,3,-3,Qilar,20.0,3.12,0.401,high,2,7,0,spoiled
Qepë,1,Perime,3.22,30,40,9,26,Kuzhinë,20.0,0.0,0,low,0,9,0,none
Vaj ulliri,6,Erëza,6.5,365,884,146,221,Frigorifer,4.0,1.723,0.265,low,0,11,0,expired
Kripë,6,Erëza,3.74,1000,0,910,93,Kuzhinë,20.0,0.325,0.087,low,0,11,0,other
Bukë,5,Drithëra,5.03,3,265,2,-1,Kuzhinë,20.0,1.418,0.282,high,2,3,1,spoiled
Djathë,4,Bulmet,3.01,14,264,1,11,Kuzhinë,20.0,0.123,0.041,low,0,20,1,none
Kastravec,1,Perime,6.93,7,16,5,6,Frigorifer,4.0,2.848,0.411,medium,1,12,1,overcooked
Oriz,5,Drithëra,9.8,365,130,29,334,Raft,20.0,0.265,0.027,low,0,6,0,none
Spinaq,1,Perime,8.5,5,23,5,4,Frigorifer,4.0,1.403,0.165,medium,1,5,0,spoiled
Vaj ulliri,6,Erëza,6.49,365,884,185,183,Ngrirës,-18.0,0.889,0.137,low,0,15,0,overcooked
Vezë,3,Mish,7.65,21,155,18,2,Raft,20.0,4.498,0.588,high,2,12,1,overcooked
Oriz,5,Drithëra,2.86,365,130,58,304,Kuzhinë,20.0,0.24,0.084,low,0,18,0,overcooked
Vaj ulliri,6,Erëza,2.68,365,884,228,137,Raft,20.0,0.0,0,low,0,10,1,none
Speca,1,Perime,1.31,10,31,1,13,Frigorifer,4.0,0.276,0.211,low,0,11,0,expired
Djathë,4,Bulmet,5.47,14,264,14,1,Ngrirës,-18.0,4.431,0.81,high,2,6,0,spoiled
Karrota,1,Perime,9.85,30,41,25,4,Qilar,20.0,3.103,0.315,medium,1,18,0,other
Kripë,6,Erëza,9.83,1000,0,132,866,Frigorifer,4.0,2.693,0.274,low,0,10,1,other
Qumësht,4,Bulmet,4.17,5,42,3,0,Frigorifer,4.0,2.886,0.692,high,2,15,1,overcooked
Spinaq,1,Perime,8.79,5,23,4,0,Ngrirës,-18.0,6.091,0.693,high,2,14,0,expired
Qumësht,4,Bulmet,1.61,5,42,1,3,Qilar,20.0,0.316,0.196,medium,1,17,0,expired
Mollë,2,Fruta,2.04,21,52,17,5,Ngrirës,-18.0,1.044,0.512,medium,1,10,0,spoiled
Kos,4,Bulmet,9.42,7,61,2,4,Raft,20.0,1.601,0.17,medium,1,11,0,expired
Patate,1,Perime,0.55,45,77,41,5,Ngrirës,-18.0,0.054,0.099,medium,1,19,1,expired
Salmon,3,Mish,8.9,2,208,2,1,Ngrirës,-18.0,4.628,0.52,high,2,13,0,other
Patate,1,Perime,6.92,45,77,10,39,Kuzhinë,20.0,0.007,0.001,low,0,16,1,none
Speca,1,Perime,3.47,10,31,2,10,Qilar,20.0,0.642,0.185,low,0,13,0,overcooked
Qumësht,4,Bulmet,5.66,5,42,2,3,Kuzhinë,20.0,1.126,0.199,medium,1,4,0,other
Lakër,1,Perime,1.49,14,25,0,15,Kuzhinë,20.0,0.569,0.382,low,0,8,0,overcooked
Kos,4,Bulmet,7.24,7,61,3,3,Kuzhinë,20.0,1.441,0.199,medium,1,17,1,other
Banane,2,Fruta,5.02,6,89,0,9,Ngrirës,-18.0,0.0,0,low,0,19,0,none
Qepë,1,Perime,0.6,30,40,15,19,Qilar,20.0,0.052,0.087,low,0,18,0,expired
Mish viçi,3,Mish,1.43,4,250,2,4,Kuzhinë,20.0,0.446,0.312,medium,1,2,0,overcooked
Djathë,4,Bulmet,2.96,14,264,6,13,Kuzhinë,20.0,0.0,0,low,0,18,0,none
Piper,6,Erëza,9.89,1000,251,696,302,Qilar,20.0,1.454,0.147,low,0,11,0,spoiled
Speca,1,Perime,6.06,10,31,6,9,Frigorifer,4.0,0.903,0.149,low,0,2,0,spoiled
Bukë,5,Drithëra,3.4,3,265,3,5,Raft,20.0,0.35,0.103,medium,1,5,0,overcooked
Kastravec,1,Perime,3.99,7,16,4,5,Raft,20.0,1.416,0.355,medium,1,17,1,overcooked
Salmon,3,Mish,8.18,2,208,1,3,Raft,20.0,0.875,0.107,medium,1,10,0,other
Mollë,2,Fruta,9.67,21,52,18,3,Frigorifer,4.0,0.0,0,medium,1,19,1,none
Kastravec,1,Perime,5.29,7,16,6,0,Raft,20.0,3.433,0.649,high,2,4,0,expired
Vezë,3,Mish,3.21,21,155,4,20,Ngrirës,-18.0,0.0,0,low,0,14,1,none
Majdanoz,6,Erëza,8.5,5,36,5,-3,Raft,20.0,4.675,0.55,high,2,11,1,other
Limon,2,Fruta,9.57,21,29,14,12,Qilar,20.0,0.0,0,low,0,18,0,none
Pasta,5,Drithëra,7.74,365,131,348,18,Ngrirës,-18.0,0.194,0.025,low,0,9,0,none
Lakër,1,Perime,9.42,14,25,4,11,Ngrirës,-18.0,0.349,0.037,low,0,16,0,none
Salmon,3,Mish,3.55,2,208,2,1,Raft,20.0,1.967,0.554,high,2,13,1,overcooked
Vaj ulliri,6,Erëza,8.07,365,884,148,214,Qilar,20.0,2.34,0.29,low,0,3,0,other
Oriz,5,Drithëra,2.64,365,130,245,120,Raft,20.0,0.409,0.155,low,0,9,0,expired
Gjalpë,4,Bulmet,7.43,30,717,7,23,Frigorifer,4.0,2.066,0.278,low,0,17,0,spoiled
Qepë,1,Perime,1.09,30,40,10,24,Frigorifer,4.0,0.336,0.308,low,0,18,0,other
Oriz,5,Drithëra,9.36,365,130,243,126,Ngrirës,-18.0,2.359,0.252,low,0,10,0,overcooked
Oriz,5,Drithëra,0.69,365,130,45,320,Frigorifer,4.0,0.0,0,low,0,6,1,none
Piper,6,Erëza,1.84,1000,251,941,56,Kuzhinë,20.0,0.086,0.047,low,0,16,0,none
Tërshërë,5,Drithëra,9.63,180,389,74,103,Frigorifer,4.0,2.831,0.294,low,0,11,0,other
Oriz,5,Drithëra,5.48,365,130,252,112,Raft,20.0,0.608,0.111,low,0,15,0,spoiled
Kripë,6,Erëza,1.22,1000,0,166,838,Frigorifer,4.0,0.0,0,low,0,11,0,none
Kos,4,Bulmet,6.78,7,61,3,3,Raft,20.0,0.732,0.108,medium,1,13,1,overcooked
Patate,1,Perime,4.07,45,77,6,38,Ngrirës,-18.0,1.099,0.27,low,0,1,0,other
Lakër,1,Perime,4.52,14,25,4,12,Qilar,20.0,0.362,0.08,low,0,19,0,overcooked
Oriz,5,Drithëra,3.66,365,130,120,242,Ngrirës,-18.0,0.062,0.017,low,0,13,0,none
Bukë,5,Drithëra,1.26,3,265,2,3,Raft,20.0,0.194,0.154,medium,1,8,0,spoiled
Salmon,3,Mish,1.62,2,208,2,2,Kuzhinë,20.0,0.708,0.437,high,2,18,0,spoiled
Pasta,5,Drithëra,7.57,365,131,41,329,Kuzhinë,20.0,1.484,0.196,low,0,17,0,expired
